full_name,correo,score
Michael Jones,michael.jones2@example.com,70.42%
Herbert Davis,herbert.davis5@example.com,72.73%
Christopher Moore,christopher.moore44@example.com,71.60%
April Gonzalez,user8@example.com,100.00%
Colton Collins,user9@example.com,100.00%
Joseph Yang,user10@example.com,100.00%
Michelle Logan,user11@example.com,100.00%
Mary Pollard,user12@example.com,100.00%
Gail Harris,user13@example.com,100.00%
Lauren Fletcher,user14@example.com,100.00%
Alan Liu,user15@example.com,100.00%
Douglas Williams,user16@example.com,100.00%
Daniel Smith,user17@example.com,100.00%
Christopher Jensen,user18@example.com,100.00%
Haley Rodriguez,user19@example.com,100.00%
Alexis Cox,user20@example.com,100.00%
Deborah Davis,user21@example.com,100.00%
Brenda Reynolds,user22@example.com,100.00%
Paul Nash,user23@example.com,100.00%
Steven Parsons,user24@example.com,100.00%
